title,published_at,duration,view_count,like_count,comment_count,year
#youtubeshorts #shorts #color #names #20 #love #scratch #letter #lovestatus #bff #draw,14-12-2022,PT16S,42397385,728439,15444.00,2022
Aula de inglês é tipo.. crédios: KABY ANIMA #memes #stumbleguys #shorts,16-12-2022,PT43S,6149219,410592,892.00,2022
Pyar Tumse 🥰| Cute Love Story #shorts #short,16-12-2022,PT60S,36512398,738797,1047.00,2022
Pinky master plan 🤣 | புஷ்பாணா பிளவர்னு நினைச்சிங்களா fire 😂🤣#shorts #comedy #fun,17-12-2022,PT59S,10610975,346373,398.00,2022
Banana is alive  Needs surgical operation  Save berry #shorts,19-12-2022,PT44S,336686455,6861227,3605.00,2022
PAPAS ACORDEÓN: Súper Crocantes y Hermosas! #shorts,21-12-2022,PT42S,42087950,2479917,4689.00,2022
HÀI : BÀI HÁT TÊN GÌ #Shorts,23-12-2022,PT60S,15558974,384139,2534.00,2022
HÀI : GIÁNG SINH VỠ MỒM #Shorts,24-12-2022,PT60S,13054146,258782,570.00,2022
HÀI : BỐ CỦA CÂU GIỜ #Shorts,27-12-2022,PT60S,20226978,424375,894.00,2022
Respect shorts #shorts 😍💯🔥💯😍,28-12-2022,PT53S,70549535,2269179,2775.00,2022
HÀI : TÀN NHƯNG BỐ KHÔNG PHẾ #Shorts,28-12-2022,PT60S,16796461,431834,1230.00,2022
Samsung Galaxy Z Flip 4 phone case collection #shorts #galaxyzflip4,29-12-2022,PT10S,25486120,481027,1834.00,2022
Hài: RU CON BÁ ĐẠO #shorts,30-12-2022,PT60S,27269094,449205,675.00,2022
Choose your birthday month and see your princess gown♥️✨ #shorts  #princess,31-12-2022,PT50S,53125850,0,32686.00,2022
कामवाली बाई की New Year Party 🥳 | Kaamwali Bai - Part 49 | #shorts | Shorts Break,31-12-2022,PT54S,102695805,4347252,2413.00,2022
"Gadgets, Smart Appliances, Kitchen Utensils/Home Cleaning/Inventions P200  #shorts",03-01-2023,PT10S,368805339,2662390,1670.00,2023
Ultimate chocolate moist cake #shorts #cooking #recipe,03-01-2023,PT60S,97612845,5254044,12743.00,2023
HÀI : HUNG THỦ LÀ... THÔI DẸP MỌE ĐI #Shorts,04-01-2023,PT60S,24612319,464537,1068.00,2023
HÀI : LẠC BỐ ĐƯỜNG #Shorts,07-01-2023,PT60S,18076803,429964,1097.00,2023
Sisters और Face Pack 😂😉 | Badi Behen Choti Behen - Part 26 | #Shorts | Shorts Break,10-01-2023,PT59S,46274838,2348300,975.00,2023
brawl stars rank up   #shorts #pussinboot #brawlstars,11-01-2023,PT58S,20178298,1199602,4474.00,2023
Tora ( Song ) Tappu Parmar 🔥 Attitude Viral Shorts Monetization #tappuparmar #shorts #viral #short,12-01-2023,PT16S,35491638,1113356,3977.00,2023
Eating Before And After The Military. #shorts,14-01-2023,PT16S,19085565,1117403,2915.00,2023
माँ आ रही है 😆 | Husband Vs. Wife - Part 27 | #shorts | Shorts Break,14-01-2023,PT60S,133639735,5527167,3503.00,2023
खाना बना है? 😬😂 |  Kaamwali Bai - Part 51 | #shorts | Shorts Break,15-01-2023,PT54S,139055623,5905744,4097.00,2023
Getting dressed for Uttarayan celebration #shorts #fashion #grwm,15-01-2023,PT60S,28130967,1256889,5048.00,2023
Kite lovers can relate🪁😂 | Raj Grover | #shorts,16-01-2023,PT60S,63512980,2342673,2110.00,2023
😍 Pongal Kari Nal Dad Sothanai 🐔 | @SonAndDadOfficial #shorts #shortvideo,17-01-2023,PT60S,20029662,875478,471.00,2023
Changing my Girlfriend Car 🚘 color #shorts #couple #relationship,17-01-2023,PT60S,25247570,0,2916.00,2023
Chipmunk& Long Peanut #shorts,20-01-2023,PT10S,37195223,447629,830.00,2023
Shadi m dhoka 🤣 #shorts #funny,20-01-2023,PT49S,35119633,1810362,579.00,2023
Tom 🍓 Jerry (Rithvi&Kavi)Real End Twist 😂🎈 #shorts,20-01-2023,PT60S,220537301,5029266,0.00,2023
Activating my THICK GREEN Posca Marker and Drawing with it! #shorts,20-01-2023,PT60S,103749103,1973557,27512.00,2023
"Prashant, Sayali और Riya 😬😂 | Husband Vs. Wife - Part 28 | #shorts | Shorts Break",21-01-2023,PT60S,27598414,1391950,1024.00,2023
HÀI : DỌN NHÀ NGÀY TẾT #Shorts,21-01-2023,PT60S,16668074,336673,613.00,2023
Hài: RA MẮT NGƯỜI IU #shorts,22-01-2023,PT60S,9956519,279239,523.00,2023
बहोत ठण्ड है 🥶🤣 |  Kaamwali Bai - Part 52 | #shorts | Shorts Break,22-01-2023,PT60S,40069787,1972173,1586.00,2023
💗𝐏𝐢𝐧𝐤😍 𝐕𝐬 ✨𝐁𝐥𝐚𝐜𝐤🖤😍 𝐧𝐚𝐢𝐥𝐬💅/𝐝𝐫𝐞𝐬𝐬👗/𝐡𝐞𝐞𝐥𝐬👠/𝐫𝐢𝐧𝐠💍/𝐥𝐢𝐩𝐬𝐭𝐢𝐜𝐤💄/😍❣️✨ | 𝐑𝐚𝐢𝐧𝐛𝐨𝐰 𝐠𝐥𝐢𝐭𝐭𝐞𝐫 𝐠𝐢𝐟𝐭,23-01-2023,PT57S,24588673,1509866,25185.00,2023
अब्बा नहीं मानेंगे 😂 | Maa Beta | #shorts | Shorts Break,24-01-2023,PT54S,24126998,1293407,2005.00,2023
JP University Manish Kashyap #shorts #sachtaknews #jpuniversity,25-01-2023,PT60S,4486408,221584,3294.00,2023
QUANDO EU HIDRATO MEU CABELO 💆🏻‍♀️💇🏻‍♀️🧟‍♀️ #shortsnobrasil #shorts,25-01-2023,PT60S,17054519,1076638,0.00,2023
QUANDO EU HIDRATO MEU CABELO 💆🏻‍♀️💇🏻‍♀️🧟‍♀️ #shortsnobrasil #shorts,25-01-2023,PT60S,17054519,1076638,0.00,2023
आज गाड़ी तेरी बेहेन चलाएगी! 😆😬| Badi Behen - Choti Behen - Part 28 | #shorts | Shorts Break,26-01-2023,PT60S,90160680,3649285,1809.00,2023
